16	36044801	39321600	35
16	39321601	42598400	33
16	42598401	45875200	34
16	45875201	49152000	25
16	49152001	52428800	79
16	52428801	55705600	32
16	55705601	58982400	19
16	58982401	62259200	14
16	62259201	65536000	16
16	65536001	68812800	21
16	68812801	72089600	13
16	72089601	75366400	30
16	75366401	78643200	16
16	78643201	81920000	8
16	81920001	83288587	14
17	1	3276800	17
17	3276801	6553600	12
17	6553601	9830400	8
17	9830401	13107200	20
17	13107201	16384000	16
17	16384001	19660800	21
17	19660801	22937600	6
17	22937601	26214400	6
17	26214401	29491200	1
17	29491201	32768000	3
17	32768001	36044800	1
17	36044801	39321600	3
17	39321601	42598400	13
17	42598401	45875200	24
17	45875201	49152000	18
17	49152001	52428800	5
17	52428801	55705600	27
17	55705601	58982400	23
17	58982401	62259200	10
17	62259201	65536000	63
17	65536001	68812800	43
17	68812801	72089600	40
17	72089601	75366400	80
18	1	3276800	43
18	3276801	6553600	15
18	6553601	9830400	21
18	9830401	13107200	39
18	13107201	16384000	41
18	16384001	19660800	48
18	19660801	22937600	17
18	22937601	26214400	16
18	26214401	29491200	31
18	32768001	36044800	2
18	36044801	39321600	79
18	39321601	42598400	29
18	42598401	45875200	25
18	45875201	49152000	54
18	49152001	52428800	91
18	52428801	55705600	104
18	55705601	58982400	106
18	58982401	62259200	139
18	62259201	65536000	86
18	65536001	67588387	40
19	1	3276800	3
19	3276801	6553600	14
19	6553601	9830400	29
19	9830401	13107200	34
19	13107201	16384000	25
19	16384001	19660800	12
19	19660801	22937600	66
19	22937601	26214400	57
19	26214401	29491200	118
19	29491201	32768000	30
19	32768001	36044800	61
19	36044801	39321600	70
19	39321601	42598400	87
19	42598401	45875200	111
19	45875201	49152000	47
19	49152001	52428800	59
19	52428801	55705600	74
19	55705601	58982400	97
19	58982401	62259200	35
19	62259201	65536000	26
2	1	3276800	23
2	3276801	6553600	27
2	6553601	9830400	12
2	9830401	13107200	7
2	13107201	16384000	13
2	16384001	19660800	13
2	19660801	22937600	24
2	22937601	26214400	22
2	26214401	29491200	36
2	29491201	32768000	11
2	32768001	36044800	5
2	36044801	39321600	15
2	39321601	42598400	12
2	42598401	45875200	7
2	45875201	49152000	12
2	49152001	52428800	11
2	52428801	55705600	6
2	55705601	58982400	4
2	58982401	62259200	3
2	62259201	65536000	12
2	65536001	68812800	16
2	68812801	72089600	2
2	72089601	75366400	20
2	75366401	78643200	16
2	78643201	81920000	9
2	81920001	85196800	9
2	85196801	88473600	3
2	88473601	91750400	17
2	91750401	95027200	34
2	95027201	98304000	15
2	98304001	101580800	25
2	101580801	104857600	12
2	104857601	108134400	6
2	108134401	111411200	37
2	111411201	114688000	36
2	114688001	117964800	17
2	117964801	121241600	15
2	121241601	124518400	21
2	124518401	127795200	62
2	127795201	131072000	34
2	131072001	134348800	62
2	134348801	137625600	41
2	137625601	140902400	36
2	140902401	142713314	27
20	1	3276800	19
20	3276801	6553600	30
20	6553601	9830400	26
20	9830401	13107200	22
20	13107201	16384000	20
20	16384001	19660800	10
20	19660801	22937600	8
20	22937601	26214400	30
20	26214401	29491200	9
20	29491201	32768000	14
20	32768001	36044800	22
20	36044801	39321600	17
20	39321601	42598400	25
20	42598401	45875200	11
20	45875201	49152000	2
20	49152001	52428800	3
20	52428801	55705600	4
20	55705601	58982400	11
20	58982401	62259200	9
20	62259201	65536000	13
20	65536001	68812800	14
20	68812801	72089600	13
20	72089601	74161552	29
21	1	3276800	18
21	3276801	6553600	17
21	6553601	9830400	14
21	9830401	13107200	3
21	13107201	16384000	13
21	16384001	19660800	15
21	19660801	22937600	71
21	22937601	26214400	27
21	26214401	29491200	31
21	29491201	32768000	32
21	32768001	36044800	64
21	36044801	39321600	4
21	39321601	42598400	4
21	42598401	45875200	16
21	45875201	49152000	26
21	49152001	52428800	13
21	52428801	55705600	3
21	55705601	58982400	42
21	58982401	62259200	25
21	62259201	65536000	8
21	65536001	68812800	32
21	68812801	71319391	41
22	1	3276800	10
22	3276801	6553600	3
22	6553601	9830400	14
22	9830401	13107200	35
22	13107201	16384000	34
22	16384001	19660800	39
22	19660801	22937600	9
22	22937601	26214400	7
22	26214401	29491200	5
22	29491201	32768000	15
22	32768001	36044800	6
22	36044801	39321600	8
22	39321601	42598400	4
22	42598401	45875200	14
22	45875201	49152000	8
22	49152001	52428800	53
22	52428801	55705600	53
22	55705601	58982400	17
22	58982401	62259200	47
22	62259201	63495901	17
23	1	3276800	6
23	3276801	6553600	15
23	6553601	9830400	55
23	9830401	13107200	44
23	13107201	16384000	28
23	16384001	19660800	66
23	19660801	22937600	20
23	22937601	26214400	28
23	26214401	29491200	117
23	29491201	32768000	102
23	32768001	36044800	18
23	36044801	39321600	13
23	39321601	42598400	19
23	42598401	45875200	16
23	45875201	49152000	27
23	49152001	52428800	21
23	52428801	53682125	17
24	1	3276800	24
24	3276801	6553600	22
24	6553601	9830400	10
24	9830401	13107200	3
24	13107201	16384000	5
24	16384001	19660800	5
24	19660801	22937600	13
24	22937601	26214400	16
24	26214401	29491200	14
24	29491201	32768000	9
24	32768001	36044800	16
24	36044801	39321600	26
24	39321601	42598400	16
24	42598401	45875200	28
24	45875201	49152000	14
24	49152001	52428800	14
24	52428801	55705600	5
24	55705601	58982400	16
24	58982401	62259200	20
24	62259201	65280213	23
25	1	3276800	133
25	3276801	6553600	35
25	6553601	9830400	13
25	9830401	13107200	25
25	13107201	16384000	22
25	16384001	19660800	15
25	19660801	22937600	22
25	22937601	26214400	10
25	26214401	29491200	56
25	29491201	32768000	16
25	32768001	36044800	17
25	36044801	39321600	70
25	39321601	42598400	65
25	42598401	45875200	41
26	1	3276800	6
26	3276801	6553600	4
26	6553601	9830400	17
26	9830401	13107200	25
26	13107201	16384000	31
26	16384001	19660800	43
26	19660801	22937600	52
26	22937601	26214400	41
26	26214401	29491200	4
26	29491201	32768000	15
26	32768001	36044800	25
26	36044801	39321600	21
26	39321601	42598400	23
26	42598401	45875200	33
26	45875201	49152000	19
26	49152001	52428800	27
27	1	3276800	16
27	3276801	6553600	18
27	6553601	9830400	7
27	9830401	13107200	3
27	13107201	16384000	39
27	16384001	19660800	15
27	19660801	22937600	11
27	22937601	26214400	20
27	26214401	29491200	18
27	29491201	32768000	11
27	32768001	36044800	29
27	36044801	39321600	34
27	39321601	42598400	17
27	42598401	45875200	15
27	45875201	47299517	3
28	1	3276800	26
28	3276801	6553600	19
28	6553601	9830400	20
28	9830401	13107200	11
28	13107201	16384000	14
28	16384001	19660800	15
28	19660801	22937600	3
28	22937601	26214400	45
28	26214401	29491200	46
28	29491201	32768000	14
28	32768001	36044800	23
28	36044801	39321600	7
28	39321601	42598400	29
28	42598401	45875200	34
29	1	3276800	15
29	3276801	6553600	15
29	6553601	9830400	19
29	9830401	13107200	13
29	13107201	16384000	3
29	16384001	19660800	20
29	19660801	22937600	8
29	22937601	26214400	16
29	26214401	29491200	51
29	29491201	32768000	27
29	32768001	36044800	20
29	36044801	39321600	30
29	39321601	42598400	58
29	42598401	45875200	115
29	45875201	49152000	90
29	49152001	52428800	32
3	1	3276800	28
3	3276801	6553600	14
3	6553601	9830400	53
3	9830401	13107200	31
3	13107201	16384000	85
3	16384001	19660800	72
3	19660801	22937600	50
3	22937601	26214400	22
3	26214401	29491200	25
3	29491201	32768000	41
3	32768001	36044800	28
3	36044801	39321600	17
3	39321601	42598400	5
3	42598401	45875200	22
3	45875201	49152000	10
3	49152001	52428800	18
3	52428801	55705600	25
3	55705601	58982400	13
3	58982401	62259200	30
3	62259201	65536000	3
3	65536001	68812800	7
3	68812801	72089600	16
3	72089601	75366400	4
3	75366401	78643200	10
3	78643201	81920000	24
3	81920001	85196800	19
3	85196801	88473600	14
3	88473601	91750400	11
3	91750401	95027200	38
3	95027201	98304000	31
3	98304001	101580800	27
3	101580801	104857600	68
3	104857601	108134400	42
3	108134401	111411200	44
3	111411201	114688000	39
3	114688001	117964800	29
3	117964801	121241600	33
3	121241601	123911021	30
4	1	3276800	5
4	3276801	6553600	13
4	6553601	9830400	24
4	9830401	13107200	20
4	13107201	16384000	19
4	16384001	19660800	1
4	19660801	22937600	3
4	22937601	26214400	3
4	26214401	29491200	5
4	29491201	32768000	10
4	32768001	36044800	7
4	36044801	39321600	7
4	39321601	42598400	8
4	42598401	45875200	23
4	45875201	49152000	20
4	49152001	52428800	28
4	52428801	55705600	9
4	55705601	58982400	10
4	58982401	62259200	7
4	62259201	65536000	20
4	65536001	68812800	21
4	68812801	72089600	28
4	72089601	75366400	13
4	75366401	78643200	13
4	78643201	81920000	17
4	81920001	85196800	13
4	85196801	88473600	7
4	88473601	91750400	12
4	91750401	95027200	14
4	95027201	98304000	39
4	98304001	101580800	16
4	101580801	104857600	17
4	104857601	108134400	43
4	108134401	111411200	86
4	111411201	114688000	7
4	114688001	117964800	56
4	117964801	121241600	27
4	121241601	123319836	21
5	1	3276800	14
5	3276801	6553600	19
5	6553601	9830400	8
5	9830401	13107200	12
5	13107201	16384000	7
5	16384001	19660800	9
5	19660801	22937600	12
5	22937601	26214400	23
5	26214401	29491200	89
5	29491201	32768000	63
5	32768001	36044800	26
5	36044801	39321600	11
5	39321601	42598400	6
5	42598401	45875200	25
5	45875201	49152000	5
5	49152001	52428800	20
5	52428801	55705600	3
5	55705601	58982400	95
5	58982401	62259200	23
5	62259201	65536000	17
5	65536001	68812800	13
5	68812801	72089600	11
5	72089601	75366400	11
5	75366401	78643200	34
5	78643201	81920000	15
5	81920001	85196800	25
5	85196801	88473600	11
5	88473601	91750400	19
5	91750401	95027200	6
5	95027201	98304000	17
5	98304001	101580800	22
5	101580801	104857600	79
5	104857601	108134400	34
5	108134401	111411200	59
5	111411201	114688000	77
5	114688001	117964800	32
5	117964801	121241600	16
5	121241601	123141556	23
6	1	3276800	11
6	3276801	6553600	13
6	6553601	9830400	12
6	9830401	13107200	5
6	13107201	16384000	11
6	16384001	19660800	20
6	19660801	22937600	19
6	22937601	26214400	18
6	26214401	29491200	12
6	29491201	32768000	10
6	32768001	36044800	1
6	36044801	39321600	22
6	39321601	42598400	8
6	42598401	45875200	5
6	45875201	49152000	15
6	49152001	52428800	2
6	55705601	58982400	3
6	58982401	62259200	31
6	62259201	65536000	11
6	65536001	68812800	13
6	68812801	72089600	25
6	72089601	75366400	34
6	78643201	81920000	4
6	81920001	85196800	4
6	85196801	88473600	35
6	88473601	91750400	24
6	91750401	95027200	22
6	95027201	98304000	13
6	98304001	101580800	21
6	101580801	104857600	23
6	104857601	108134400	23
6	108134401	111411200	4
6	111411201	114688000	19
6	114688001	117964800	30
6	117964801	120061775	31
7	1	3276800	41
7	3276801	6553600	91
7	6553601	9830400	49
7	9830401	13107200	77
7	13107201	16384000	99
7	16384001	19660800	49
7	19660801	22937600	20
7	22937601	26214400	6
7	26214401	29491200	5
7	29491201	32768000	2
7	32768001	36044800	5
7	36044801	39321600	17
7	39321601	42598400	54
7	42598401	45875200	59
7	45875201	49152000	30
7	49152001	52428800	84
7	52428801	55705600	13
7	55705601	58982400	17
7	58982401	62259200	35
7	62259201	65536000	17
7	65536001	68812800	20
7	68812801	72089600	26
7	72089601	75366400	13
7	75366401	78643200	1
7	78643201	81920000	20
7	81920001	85196800	8
7	85196801	88473600	6
7	88473601	91750400	8
7	91750401	95027200	8
7	95027201	98304000	20
7	98304001	101580800	5
7	101580801	104857600	10
7	104857601	108134400	9
7	108134401	111411200	11
8	1	3276800	25
8	3276801	6553600	7
8	6553601	9830400	28
8	9830401	13107200	24
8	13107201	16384000	2
8	16384001	19660800	10
8	19660801	22937600	12
8	22937601	26214400	33
8	26214401	29491200	12
8	29491201	32768000	11
8	36044801	39321600	14
8	39321601	42598400	19
8	42598401	45875200	12
8	45875201	49152000	8
8	49152001	52428800	11
8	52428801	55705600	13
8	55705601	58982400	8
8	58982401	62259200	46
8	62259201	65536000	36
8	65536001	68812800	19
8	68812801	72089600	33
8	72089601	75366400	20
8	75366401	78643200	49
8	78643201	81920000	9
8	81920001	85196800	24
8	85196801	88473600	25
8	88473601	91750400	25
8	91750401	95027200	8
8	95027201	98304000	1
8	98304001	101580800	10
8	101580801	104857600	16
8	104857601	108134400	9
8	108134401	111411200	6
8	111411201	114688000	15
8	114688001	115850422	6
9	1	3276800	14
9	3276801	6553600	8
9	6553601	9830400	10
9	9830401	13107200	17
9	13107201	16384000	13
9	16384001	19660800	8
9	19660801	22937600	32
9	22937601	26214400	3
9	26214401	29491200	27
9	29491201	32768000	18
9	32768001	36044800	4
9	36044801	39321600	14
9	39321601	42598400	11
9	42598401	45875200	5
9	45875201	49152000	6
9	49152001	52428800	26
9	52428801	55705600	12
9	55705601	58982400	21
9	58982401	62259200	23
9	62259201	65536000	16
9	65536001	68812800	10
9	68812801	72089600	16
9	72089601	75366400	12
9	75366401	78643200	27
9	78643201	81920000	18
9	81920001	85196800	27
9	85196801	88473600	27
9	88473601	91750400	21
9	91750401	95027200	28
