1	1	3276800	2.213333333
1	3276801	6553600	2.28
1	6553601	9830400	2.43
1	9830401	13107200	2.3
1	13107201	16384000	2.276666667
1	16384001	19660800	2.34
1	19660801	22937600	2.473333333
1	22937601	26214400	2.406666667
1	26214401	29491200	2.416666667
1	29491201	32768000	2.36
1	32768001	36044800	2.323333333
1	36044801	39321600	2.396666667
1	39321601	42598400	2.336666667
1	42598401	45875200	2.4
1	45875201	49152000	2.406666667
1	49152001	52428800	2.39
1	52428801	55705600	2.366666667
1	55705601	58982400	2.323333333
1	58982401	62259200	2.346666667
1	62259201	65536000	2.263333333
1	65536001	68812800	2.28
1	68812801	72089600	2.273333333
1	72089601	75366400	2.37
1	75366401	78643200	2.346666667
1	78643201	81920000	2.436666667
1	81920001	85196800	2.26
1	85196801	88473600	2.28
1	88473601	91750400	2.406666667
1	91750401	95027200	2.44
1	95027201	98304000	2.346666667
1	98304001	101580800	2.336666667
1	101580801	104857600	2.33
1	104857601	108134400	2.313333333
1	108134401	111411200	2.346666667
1	111411201	114688000	2.286666667
1	114688001	117964800	2.41
1	117964801	121241600	2.36
1	121241601	124518400	2.32
1	124518401	127795200	2.406666667
1	127795201	131072000	2.32
1	131072001	134348800	2.196666667
1	134348801	137625600	2.24
1	137625601	140902400	2.256666667
1	140902401	144179200	2.176666667
1	144179201	147456000	2.113333333
1	147456001	150732800	2.173333333
1	150732801	154009600	2.27
1	154009601	157286400	2.396666667
1	157286401	160563200	2.243333333
1	160563201	161917960	2.186666667
10	1	3276800	2.323333333
10	3276801	6553600	2.256666667
10	6553601	9830400	2.31
10	9830401	13107200	2.316666667
10	13107201	16384000	2.25
10	16384001	19660800	2.343333333
10	19660801	22937600	2.13
10	22937601	26214400	2.286666667
10	26214401	29491200	2.3
10	29491201	32768000	2.386666667
10	32768001	36044800	2.33
10	36044801	39321600	2.31
10	39321601	42598400	2.34
10	42598401	45875200	2.363333333
10	45875201	49152000	2.34
10	49152001	52428800	2.366666667
10	52428801	55705600	2.306666667
10	55705601	58982400	2.286666667
10	58982401	62259200	2.373333333
10	62259201	65536000	2.296666667
10	65536001	68812800	2.36
10	68812801	72089600	2.336666667
10	72089601	75366400	2.34
10	75366401	78643200	2.343333333
10	78643201	81920000	2.3
10	81920001	85196800	2.27
10	85196801	88473600	2.15
10	88473601	91750400	2.196666667
10	91750401	95027200	2.306666667
10	95027201	98304000	2.37
10	98304001	101580800	2.23
10	101580801	103731018	2.243333333
11	1	3276800	2.213333333
11	3276801	6553600	2.24
11	6553601	9830400	2.183333333
11	9830401	13107200	2.293333333
11	13107201	16384000	2.28
11	16384001	19660800	2.32
11	19660801	22937600	2.376666667
11	22937601	26214400	2.376666667
11	26214401	29491200	2.34
11	29491201	32768000	2.286666667
11	32768001	36044800	2.333333333
11	36044801	39321600	2.376666667
11	39321601	42598400	2.326666667
11	42598401	45875200	2.276666667
11	45875201	49152000	2.143333333
11	49152001	52428800	2.21
